Official Symbol Interactor A,Official Symbol Interactor B
MAPK9,MAPK9
MAPK9,MAPK8
MAPK9,DUSP8
MAPK9,SPTAN1
MAPK9,LAMA1
CDK6,AMY2A
MAPK3,TEK
CDK4,CDKN2D
CDK6,PIGR
ICK,TP53
CDK7,A2M
MAPK9,FTH1
HIPK4,CDKN2A
CDK4,CDKN1B
CDK11A,CDKN2A
CLK2,CDKN2A
MAPK9,SEC13
MAPK9,DHX33
SRPK1,ERBB2
SRPK1,PDGFRA
SRPK1,EPHA3
EGFR,CAV1
EGFR,CALM1
EGFR,CAV2
EGFR,CLTA
EGFR,CLTCL1
EGFR,GRB2
EGFR,HOXC10
EGFR,LYN
EGFR,S100A7
EGFR,S100A9
EGFR,SEC13
EGFR,GAPDH
EGFR,SFN
EGFR,SLC3A2
EGFR,ATP1A1
EGFR,ATP1B1
EGFR,ALCAM
EGFR,ICAM1
EGFR,TUBA1A
EGFR,CLTA
EGFR,GAPDH
EGFR,GRB2
EGFR,LYN
EGFR,SFN
EGFR,S100A9
EGFR,SLC3A2
YWHAQ,SLC27A2
YWHAQ,FASN
YWHAQ,SPTA1
YWHAQ,IQGAP1
PTGS2,TP53
TP53,PTGS2
TP53,EP300
PARK2,TOMM70A
PARK2,HK1
PARK2,PSMD2
PARK2,ADRM1
PARK2,PSMD4
MDM2,SIVA1
AGT,REN
AGT,REN
MDM2,MDM2
MDM2,TP53
MDM2,MDM2
FBXO6,A2M
FBXO6,EGFR
FBXO6,FLG2
FBXO6,FASN
FBXO6,RPL5
TARDBP,RPL5
TARDBP,CDK4
MOB1A,DST
MOB1B,DST
YWHAB,BRAF
YWHAB,NF1
MDM2,TP53
TP53,MDM2
ITGB3,THBS1
CD40,PIK3R1
PIK3R1,CD40
PIK3R1,ALOX5
ALOX5,PIK3R1
TOPBP1,MDC1
BLM,TP53
MIB1,CDC27
MAPK3,TP53
PTGS2,TP53
TP53,PTGS2
TP53,EP300
TP53,MAPK3
ANAPC11,CDC27
HECW2,CDC27
HECW2,CENPF
UBTD1,BCOR
TP53,CREBZF
TP53,MDM2
C10orf90,TP53
C10orf90,TP53
TP53,MDM2
C10orf90,TP53
FGFR1,RPS6KA3
RPS6KA3,FGFR1
FGFR1,RPS6KA3
FGFR1,RPS6KA3
RPS6KA3,FGFR1
PARK2,TOMM70A
PARK2,TOMM40
TOMM70A,PARK2
TOMM40,PARK2
PARK2,TOMM70A
PARK2,LRPPRC
PARK2,TOMM70A
PARK2,PARK2
PARK2,DNAJA1
PARK2,HSPA1A
PARK2,HSPA8
PARK2,PRDX1
PARK2,CALM1P1
PARK2,HNRNPA2B1
PARK2,CLPX
PARK2,CBX1
PARK2,HSPD1
PARK2,ACTB
PARK2,ATP2B3
PARK2,TOMM70A
PARK2,ATP2B1
PARK2,CASP14
PARK2,H1F0
PARK2,DAP3
PARK2,PRKCSH
PARK2,TUBA1C
PARK2,AIFM1
PARK2,LRPPRC
PARK2,ALB
PARK2,TUBB4B
PARK2,VIM
PARK2,TUBA4A
PARK2,HSP90AB1
PARK2,HSP90AA1
PARK2,HSPA9
PARK2,NPM1
PARK2,TUBB
PARK2,HSPA5
PARK2,GSDMA
PARK2,RBM8A
PARK2,CALU
PARK2,RCN2
PARK2,MRPS31
PARK2,GAPDH
PARK2,SLC25A3
PARK2,ATP5A1
PARK2,HADHB
PARK2,EEF1A1
PARK2,NEFL
PARK2,TUBB6
PARK2,SLC25A13
PARK2,HIST1H2AA
PARK2,ATP5O
PARK2,MRPS7
PARK2,SET
PARK2,OPA1
PARK2,NEFM
PARK2,CBX3
PARK2,EIF4B
PARK2,BAG2
PARK2,SART1
PARK2,ATP5J2
PARK2,MYL12A
PARK2,ATP5C1
PARK2,RPS20
PARK2,RPL13
PARK2,RPL6
PARK2,CCT3
PARK2,ANXA2
PARK2,HNRNPF
PARK2,HIST1H4J
PARK2,TPM4
PARK2,NDUFS4
PARK2,INA
PARK2,HSPA2
PARK2,CIRBP
PARK2,YBX3
PARK2,LMNB1
PARK2,SLC25A4
PARK2,CALR
PARK2,MRPL12
PARK2,PRPF19
PARK2,SFPQ
PARK2,HSP90B1
PARK2,RFC4
PARK2,FUS
PARK2,NDUFS2
PARK2,SSBP1
PARK2,IGF2BP1
PARK2,HSPA1L
PARK2,C1QBP
PARK2,XRCC6
PARK2,YWHAE
PARK2,RUVBL1
PARK2,LMNA
PARK2,RUVBL2
PARK2,VGF
PARK2,ZC3H15
PARK2,GPD2
PARK2,HSDL2
PARK2,AMY2B
PARK2,MARCKSL1
PARK2,CHGA
PARK2,ACTBL2
PARK2,NTPCR
PARK2,GCNT2
PARK2,AGPS
PARK2,CHGB
PARK2,CEP55
PARK2,HDGF
PARK2,TUBA3D
PARK2,ABCE1
PARK2,TGM3
PARK2,AGK
PARK2,MRPS28
PARK2,MRPS18B
PARK2,RPL26L1
PARK2,STOML2
PARK2,CALML3
PARK2,DBT
PARK2,VAT1
PARK2,NACA
PARK2,CHCHD3
PARK2,TPM3
PARK2,NDUFA10
PARK2,AMOT
PARK2,HNRNPH3
PARK2,PDIA4
PARK2,SRSF9
PARK2,MRPS23
PARK2,TUBB1
PARK2,NIPSNAP1
PARK2,PCCA
PARK2,RPS19
PARK2,PCCB
PARK2,ACTA2
PARK2,MARCKS
PARK2,DDX47
PARK2,PABPC1L
PARK2,PRRC2C
PARK2,MCCC2
PARK2,TXN
PARK2,PDIA6
PARK2,HNRNPCL1
PARK2,HNRNPDL
PARK2,P4HB
PARK2,PIP
PARK2,HNRNPD
PARK2,NDUFS3
PARK2,CKAP4
PARK2,ATAD3B
PARK2,RPL22
PARK2,PABPC3
PARK2,HNRNPA3
PARK2,RPS27A
PARK2,IMPDH2
PARK2,MCM7
PARK2,TPM1
PARK2,SLC25A1
PARK2,EEF1A2
PARK2,ATAD3A
PARK2,RPL8
PARK2,PGAM5
PARK2,SRSF1
PARK2,RALY
PARK2,ELAVL1
PARK2,RPS2
PARK2,HIST1H1C
PARK2,MRPS15
PARK2,PTCD3
PARK2,HNRNPR
PARK2,SRSF3
PARK2,HNRNPM
PARK2,MRPS27
PARK2,SERBP1
PARK2,TUFM
PARK2,SRSF2
PARK2,PRPF6
PARK2,SYNCRIP
PARK2,HNRNPC
PARK2,RPL23A
PARK2,RPS8
PARK2,RPS25
PARK2,TCP1
PARK2,MATR3
PARK2,RPS14
PARK2,SLC25A5
PARK2,DDX17
PARK2,RPL12
PARK2,RPS6
PARK2,RPL4
PARK2,SNRNP200
PARK2,HNRNPH1
PARK2,MRPS22
PARK2,RPL7A
PARK2,RPS16
PARK2,RPLP0
PARK2,RPL7
PARK2,DDX5
PARK2,HNRNPK
PARK2,HNRNPU
PARK2,HNRNPA1
PARK2,DDX3X
PARK2,IGHA1
PARK2,EEF1A1P5
PARK2,HSPA7
PARK2,IGHG1
PARK2,IGKV2-30
PARK2,TUBB7P
PARK2,SLC25A24
MDM2,EID1
MDM2,UBE2D3
TAB1,MDM2
RPL6,MDM2
MDM2,RPL6
AURKA,MDM2
AURKA,MDM2
PIK3R1,CBL
PIK3R1,EPOR
CBL,PIK3R1
PIK3R1,EPN1
PARK2,NACC1
NACC1,PARK2
XIAP,MDM2
XIAP,MDM2
MDM2,XIAP
TP53,OTUD5
TP53,OTUD5
OTUD5,TP53
TP53,OTUD5
MDM2,UBC
OTUD5,TP53
TNFAIP3,TP53
TP53,TNFAIP3
DCUN1D1,CAND1
DCUN1D1,CUL1
DCUN1D1,CUL2
DCUN1D1,CUL3
DCUN1D1,RBX1
GLI1,FEM1B
FEM1B,GLI1
RNF8,MDC1
CDKN2A,UBE4B
CDKN2A,USP26
CDKN2A,SNRPA
CDKN2A,TUBA1C
CDKN2A,TUBB4B
CDKN2A,TUBA1A
CDKN2A,TUBB
CDKN2A,HSPA9
CDKN2A,SNRPB
CDKN2A,RUVBL2
CDKN2A,RIN2
CDKN2A,PCNA
CDKN2A,PDCD6
CDKN2A,MMRN1
CDKN2A,MYL12A
CDKN2A,MTR
CDKN2A,HNRNPC
CDKN2A,HSPA4
CDKN2A,HSPA8
CDKN2A,HSP90AB1
CDKN2A,HSP90AA1
CDKN2A,GAPDH
CDKN2A,EPHA3
CDKN2A,EEF2
CDKN2A,MCM6
CDKN2A,CDK6
CDKN2A,ACLY
CDKN2A,ACTN4
CDKN2A,ACTG1
CDKN2A,ACTB
CDKN2A,HNRNPA2B1
ATM,TP53
ATR,TP53
PRKDC,TP53
FGD5,JMJD6
FGD5,SUV39H1
FIP1L1,PRMT2
FIP1L1,PRMT6
QKI,CARM1
WWOX,FIP1L1
IDH1,ADSS
MTAP,ANXA6
BCAR1,ARMCX3
MTAP,ATP6V1A
EPN1,BCAR1
HYOU1,BCAR1
CDKN2A,BRK1
FAF1,CARM1
ACTA1,CDKN2A
ACTBL2,CDKN2A
ACTG1,CDKN2A
CSTF2,CDKN2A
MTAP,CUTA
FAF1,CARS
FAF1,FAM114A1
FAF1,FARSB
CAP1,FASN
KIAA1598,FASN
SIRT1,FASN
TPM3,FASN
TPM4,FASN
IQGAP1,GAPVD1
FAF1,GART
DCUN1D1,GDI1
DCUN1D1,GLRX3
IDH1,GLRX3
BCAR1,GMPR2
FAF1,HIRIP3
FAF1,HIST1H4A
FAF1,HSPA4
IDH1,HSPE1
FAF1,HSPH1
ANXA6,IDH1
C12orf10,IDH1
CBX3,IDH1
CHMP4A,IDH1
DCK,IDH1
EFHD2,IDH1
FDPS,IDH1
GOT1,IDH1
NME1,IDH1
OXCT1,IDH1
RANBP1,IDH1
SBDS,IDH1
THOP1,IDH1
UBE2H,IDH1
FAF1,ILK
AIMP1,IQGAP1
AIMP2,IQGAP1
CCT2,IQGAP1
DNAJA1,IQGAP1
EEF1E1,IQGAP1
EIF2S3,IQGAP1
EIF4G1,IQGAP1
HNRNPA1,IQGAP1
CCAR2,IQGAP1
LRRC47,IQGAP1
PRPSAP2,IQGAP1
PSMA1,IQGAP1
PTBP1,IQGAP1
QARS,IQGAP1
RPLP0,IQGAP1
SYNCRIP,IQGAP1
BCAR1,KIF13A
CFL1,MTAP
GOT1,MTAP
UBE2H,MTAP
ATP6V1B2,MSH6
GANAB,MSH6
HYOU1,MSH6
XRCC6,MSH6
CHRAC1,MTAP
GMPS,MTAP
HPRT1,MTAP
PNP,MTAP
UROD,MTAP
MTAP,MTPN
CDKN2A,LSM8
CDKN2A,NCKAP1
IDH1,NME1-NME2
MTAP,PDIA3
FAF1,PLOD2
FAF1,PPM1G
CACNA1S,PPP2R2A
FAF1,PPP2R5C
FAF1,PRMT3
AHNAK2,PSMD14
IDH1,PTMS
FAF1,PUF60
MTAP,RAB1A
FAF1,RANBP3
IDH1,RBBP7
IDH1,RCN1
FAF1,RPL24
CDKN2A,RPP38
IQGAP1,RUVBL1
FAF1,SAMHD1
MSH6,SAMHD1
FAF1,SEC23A
FAF1,SET
FAF1,SF1
IDH1,SUGT1
MSH6,SUPT5H
FAF1,SWAP70
IDH1,TALDO1
ABCF1,TBL1XR1
FAF1,TLN1
FAF1,TROVE2
BCAR1,TSEN34
FAF1,UGP2
FAF1,XPO7
MLH1,MLH3
RBBP4,RB1
CRBN,IKZF1
IKZF1,CRBN
RPS27A,TP53
TP53,MDM2
PARK2,TARDBP
MDM2,NOC2L
MDM2,NOC2L
NOC2L,MDM2
MDM2,JAK1
JAK1,MDM2
MDM2,NOC2L
MDM2,TP53
MDM2,TP53
NEDD4,MDM2
NEDD4,MDM2
TNK2,CDC42
TNK2,EGFR
TNK2,CDC42
TNK2,EGFR
ATG16L1,TNK2
ATG16L1,TNK2
TNK2,SQSTM1
TNK2,SQSTM1
TNK2,NBR1
IL7R,KIT
KIT,IL7R
KIT,JAK3
KIT,STAT5B
NEDD4L,HCN1
HCN1,NEDD4L
RPA3,IQGAP1
RPA2,IQGAP1
RPA1,IQGAP1
RPA1,MYH11
RPA2,MYH11
RPA3,MYH11
RPA3,MDC1
RPA2,MDC1
RPA1,MDC1
RPA3,PSIP1
RPA3,EGFR
RPA2,PSIP1
RPA2,EGFR
RPA1,PSIP1
RPA1,EGFR
WWOX,FIP1L1
WWOX,DSG3
PIK3CA,AKT1
TP53,UBE4B
UBE4B,MDM2
MDM2,UBE4B
TP53,XPC
TP53,PSMD6
XPC,MDM2
XPC,MDM2
PARK2,PARK2
PARK2,UBE2L3
MDM4,MDM4
MDM4,MDM4
MDM4,TP53
MDM4,TP53
MDM2,TP53
MDM4,UBE2D2
MDM2,UBE2D2
OTUB1,TP53
CUL4B,TP53
CRBN,IKZF1
RCHY1,TP53
ASB6,FGG
ASB6,FGA
ASB7,FGG
ASB7,FGA
ASB12,FGG
CBL,ERBB2
USP7,PTEN
USP8,PTEN
USP10,PTEN
USP13,PTEN
PTEN,USP10
PTEN,USP13
PTEN,USP7
PTEN,USP8
PTEN,USP39
PTEN,USP4
PTEN,USP13
USP13,PTEN
MDM2,IRF1
TP53,PTTG1IP
PTTG1IP,TP53
TP53,UBE2A
MDM4,USP2
MDM4,TP53
USP2,MDM4
MDM4,BCL2
MDM4,TP53
MDM4,USP2
PRKAA1,MDM4
YWHAG,MDM4
POLK,MSH6
PTEN,TP53
PTEN,NEDD4
NEDD4,PTEN
TP53,MDM2
HERC2,TP53
TP53,HERC2
HERC2,TP53
TP53,TP53
CDC27,FZR1
EGFR,CBL
EGFR,STUB1
STUB1,EGFR
ITGB3,EPHA2
PGAM1,MDM2
PGAM2,MDM2
MDM2,PGAM1
MDM2,PGAM2
MDM2,TP53
MDM2,PGAM2
MDM2,UBE2D2
AP2M1,EGFR
UBASH3B,EGFR
UBASH3B,ERRFI1
ERRFI1,YWHAQ
ERRFI1,ACTA2
ERRFI1,ACTB
ERRFI1,ACTBL2
ERRFI1,POTEKP
ERRFI1,ACTC1
ERRFI1,ACTG1
ERRFI1,ACTG2
ERRFI1,ACTA1
ERRFI1,EGFR
ERRFI1,ERBB2
ERRFI1,ERRFI1
ERRFI1,GFAP
ERRFI1,GRB2
ERRFI1,HSPA1A
ERRFI1,HSPA8
ERRFI1,MASP1
ERRFI1,POTEE
ERRFI1,POTEF
ERRFI1,RPS27A
ERRFI1,SHC1
ERRFI1,SHC2
ERRFI1,TUBA1A
ERRFI1,TUBA1B
ERRFI1,TUBA1C
ERRFI1,UBASH3B
MDM2,DNAJB1
MDM2,DNAJB1
MDM2,TP53
DNAJB1,MDM2
DNAJB1,TP53
LGR4,IQGAP1
IQGAP1,LGR4
IQGAP1,LRP6
IQGAP1,DVL2
IQGAP1,MAP2K1
IQGAP1,MAP2K2
IQGAP1,PTK2
IQGAP1,WASL
IQGAP1,PXN
IQGAP1,DIAPH1
LGR4,FASN
LGR4,POTEF
LGR4,RPL5
LGR4,TPTE2
LGR4,MYH11
LGR4,TPTE
LGR4,IQGAP1
PPIB,DDIT3
DDIT3,PPIB
EP300,DDIT3
PARK2,PARK2
CDKN2A,GNL3
CDKN2A,GNL3
CDKN2A,MDM2
CDKN2A,TRIP12
NPM1,CDKN2A
GNL3,CDKN2A
MDM2,GNL3
CDK4,HSP90AA1
CDK4,HSP90AB1
CDK4,CDKN2A
CDK4,CDKN2B
CDK4,CDKN2C
CDK4,CDK6
CDK4,TRAP1
PHKG2,FASN
CDK9,MLLT3
STK3,DST
ILK,FASN
AGO1,TP53
DCP2,TRRAP
DGCR8,CDKN2A
PASK,MKI67
PARK2,PARK2
MDM4,MDM4
MDM2,MDM2
MDM4,UBC
MDM4,MDM2
NFE2L2,MAPK9
MDM2,TP53
MDM2,UBE2D3
CASP3,MDM2
USP7,RB1
RB1,USP7
USP7,RB1
TRIM24,TP53
DCUN1D1,CUL1
DCUN1D1,CUL2
DCUN1D1,CUL3
DCUN1D1,CUL4A
DCUN1D1,CUL4B
DCUN1D1,CUL5
DCUN1D1,UBE2M
CUL3,DCUN1D1
RBX1,DCUN1D1
DCUN1D1,CUL1
DCUN1D1,CUL2
DCUN1D1,CUL3
DCUN1D1,CUL4A
DCUN1D1,CUL4B
DCUN1D1,CAND1
DCUN1D1,CUL4A
DCUN1D1,CUL4B
DCUN1D1,CUL1
DCUN1D1,CUL2
DCUN1D1,CUL3
UBE2M,DCUN1D1
PTEN,UBC
PTEN,NDFIP1
UBC,PTEN
EGFR,PLCG1
EGFR,GRB2
EGFR,UBASH3B
EGFR,SOS1
EGFR,SOS2
EGFR,CBL
EGFR,SHC1
EGFR,PANK4
EGFR,CSK
EGFR,HUWE1
EGFR,OXSR1
EGFR,PRKAG1
EGFR,RPS6KA3
EGFR,ERRFI1
EGFR,PLK1
EGFR,PFKFB3
EGFR,EPHA2
EGFR,ATP1A1
EGFR,DNM1L
EGFR,UBA2
EGFR,MAP2K2
EGFR,HK2
EGFR,MAP2K4
EGFR,AP3D1
EGFR,DNM2
EGFR,IRS4
EGFR,UBR4
EGFR,RIOK2
EGFR,SLC12A2
EGFR,CTNND1
EGFR,MAP2K3
EGFR,VAV2
EGFR,HK1
EGFR,ATP5L
EGFR,PTPRF
EGFR,ARHGAP1
EGFR,ITCH
EGFR,PDK1
EGFR,PFKP
EGFR,SNX2
EGFR,ARF6
EGFR,TBK1
EGFR,PLD3
EGFR,PFKL
EGFR,STK26
EGFR,PPP2R5C
EGFR,UBE2G2
EGFR,AP3M1
EGFR,YES1
EGFR,PFKM
EGFR,PRKAA1
EGFR,AP1S2
EGFR,AP1G1
EGFR,AP1S1
EGFR,AP1B1
EGFR,CSNK1A1
EGFR,AP1M1
EGFR,ACP1
EGFR,CSNK2A1
EGFR,AP2A1
EGFR,AP2B1
EGFR,AP2S1
EGFR,AP2A2
EGFR,AP2M1
EGFR,CDK5
EGFR,CBLB
EGFR,EIF2AK2
EGFR,UCK2
EGFR,UBE2S
EGFR,STAT1
EGFR,AP3S1
EGFR,VRK1
EGFR,AKT2
ZBTB16,TP53
EP300,TP53
TP53,ZBTB16
CDC20,CDC27
MDM2,MDM2
MDM2,CUL1
MDM2,ANAPC2
ANAPC2,MDM2
PARK2,UBE2L3
PARK2,UBE2E2
TP53,NLK
TP53,NLK
NLK,TP53
TP53,MDM2
TP53,NLK
NLK,TP53
NLK,MDM2
PARK2,UBE2D2
PARK2,UBE2G2
PARK2,UBE2G1
PARK2,UBE2L3
PARK2,UBE2N
PARK2,UBE2V1
PARK2,MFN1
PARK2,UBC
PARK2,UBC
PARK2,UBC
PARK2,BECN1
PARK2,AMBRA1
PARK2,PIK3C3
MDM2,SNAI2
PAN2,PAN3
RBM38,MDM2
RBM38,MDM2
FAF1,VAPA
FAF1,VAPB
FAF1,VAPA
FAF1,VAPB
FAF1,VCP
VAPA,FAF1
VAPB,FAF1
FAF1,UBC
FAF1,VAPB
FAF1,UBL4A
FAF1,ASNA1
FAF1,GET4
FAF1,BAG6
FAF1,ASNA1
ASNA1,FAF1
FAF1,RPN2
FAF1,DDOST
FAF1,RPN2
MDM4,TP53
TP53,MDM2
MDM2,FHIT
MDM2,TP53
MDM2,MDM2
MDM2,TP53
PTPRO,SPTA1
PTPRO,SPTA1
MCL1,TP53
BCL2L2,TP53
MDM2,MDM2
TP53,RUNX2
RUNX2,TP53
ATRX,DAXX
ATRX,PRKDC
ATRX,RAD50
ATRX,XRCC5
ATRX,MRE11A
ATRX,XRCC6
ATRX,SUPT16H
ATRX,NBN
ATRX,SSRP1
ATRX,HIST1H4J
ATRX,HIST2H2BE
ATRX,RPA1
ATRX,TP53
ATRX,HIST1H1C
ATRX,RAD9A
ATRX,HIST1H2BL
ATRX,HIST1H2AB
ATRX,RAD1
ATRX,NBN
TP53,RNF128
RNF128,TP53
TP53,RNF128
TP53,MDM2
USP22,TRRAP
USP22,TRRAP
EGFR,SOCS5
PARK2,PARK2
PARK2,UBE2L3
PARK2,UBE2D3
PML,ATRX
DAXX,ATRX
PML,ATRX
MDM2,TP53
CDC37,CDK4
FKBP5,CDK4
IRS4,PIK3R1
IRS4,TBL1XR1
CDC37,CDK4
IRS4,PIK3R1
FKBP5,CDK4
IRS4,TBL1XR1
STAU1,FASN
STAU1,RPL5
STAU1,IQGAP1
STAU1,FIP1L1
TP53,EP300
TP53,TNK2
TP53,MDM2
EGFR,CBL
DERL1,EGFR
EGFR,DERL1
VHL,GLI1
GLI1,VHL
BCL11A,NR2F2
NR2F2,BCL11A
NR2F2,BCL11A
NR2F1,BCL11A
NR2E1,BCL11A
NR2E3,BCL11A
NR2F1,BCL11A
NR2E1,BCL11A
NR2E3,BCL11A
NR2F6,BCL11A
BCL11A,NR2F2
BCL11A,NR2E1
BCL11A,NR2E3
BCL11A,NR2F1
BCL11A,NR2F6
BCL11A,NR2E1
BCL11A,NR2E3
TP53,DNAJC7
TP53,DNAJC7
TP53,DNAJC7
MDM2,TP53
TP53,MDM2
ZBTB8A,TP53
ZBTB8A,TP53
TP53,ZBTB8A
EP300,TP53
TNK2,NTRK1
TNK2,NTRK2
TNK2,NTRK3
NTRK1,TNK2
NTRK2,TNK2
NTRK3,TNK2
IRS2,PIK3R1
IRS1,PIK3R1
DYNC1I1,BICD2
DYNC1H1,DYNC1I1
DYNC1I1,DCTN1
DYNC1LI1,DYNC1I1
DCTN2,DYNC1I1
TP53,DAXX
TP53,DNMT1
DAXX,TP53
DNMT1,TP53
RASSF1,MDM2
MDM2,DAXX
MDM2,RASSF1
DAXX,MDM2
Bicd2,DYNC1I1
SMARCA4,RB1
BCOR,NCOR2
NCOR2,BCOR
BCL6,BCOR
BCL6,BCOR
TP53,MDM2
AURKA,TP53
MDM2,U19
FAM96A,MYH11
MDM2,U19
MDM2,TP53
MDM2,MDM2
MDM2,AGPS
MDM2,ALDH16A1
MDM2,DDX5
MDM2,DHX9
MDM2,DLAT
MDM2,EDC4
MDM2,EIF2AK1
MDM2,ESYT1
MDM2,GTF2I
MDM2,HMHA1
MDM2,HNRNPM
MDM2,HNRNPU
MDM2,HRNR
MDM2,HSP90AA1
MDM2,HSP90AB1
MDM2,HSPA8
MDM2,IARS
MDM2,IFI16
MDM2,IGF2BP3
MDM2,ILF3
MDM2,KARS
MDM2,CCAR2
MDM2,NCL
MDM2,NEK9
MDM2,OGDH
MDM2,OGDHL
MDM2,RARS
MDM2,RBBP8
MDM2,RECQL
MDM2,SF3B1
MDM2,SFPQ
MDM2,TOP1
MDM2,VCP
MDM2,XRCC6
MDM2,ZNF318
TP53,PATZ1
TP53,PATZ1
BMI1,TP53
ANKRD11,IKZF1
CDH9,MEOX2
CNTNAP2,MEOX2
CTBP1,IKZF1
MVP,TP53
NDN,TP53
PARK2,SEPT5
PARK2,TRIP13
PARK2,DLX2
PARK2,CRX
PARK2,FAM46C
PARK2,MEOX1
PARK2,MEOX2
PARK2,RBCK1
PARK2,REL
PARK2,TCF4
PRKAB2,IKZF1
ANAPC4,CDC27
ANAPC4,CDC27
TP53,EP300
TP53,SMAD3
TP53,NCOR1
PML,EGFR
PML,EGFR
EGFR,PML
EGFR,PML
PML,TP53
MAPK7,TP53
TP53,PML
TP53,MAPK7
PML,MDM2
MDM2,PML
FAF1,FAF1
CCNA2,CDK4
BIRC6,CDC27
TP53,SP1
CDC20,CDC27
CDC20,FGFR1
CDKN1A,CDK4
CDKN1A,EPPK1
CEP250,RPL5
CEP250,EPPK1
CEP57,IQGAP1
TP53,ABR
TP53,ACSL4
TP53,ACTA2
TP53,ACTB
TP53,AIFM2
TP53,AKAP12
TP53,ATP5A1
TP53,BAG2
TP53,PRRC2A
TP53,PRRC2C
TP53,CAD
TP53,CAPN1
TP53,CCDC8
TP53,CCT2
TP53,CCT3
TP53,CCT4
TP53,CCT5
TP53,CCT6A
TP53,CCT7
TP53,CCT8
TP53,CEP55
TP53,CPNE7
TP53,CRTC2
TP53,CUL7
TP53,CUL9
TP53,TUBB
TP53,HSPA1A
TP53,DDB1
TP53,DDX5
TP53,DGCR14
TP53,DNAJA1
TP53,DNAJA2
TP53,DOCK7
TP53,EBNA1BP2
TP53,EEF1A1
TP53,EIF4E2
TP53,ENAH
TUBGCP3,EPPK1
VCP,EPPK1
TP53,CSNK2A1
TP53,MRPS18B
TP53,RCN2
TP53,RPL24
TP53,RPL23
TP53,EXOSC7
TP53,EXOSC8
TP53,MZT2B
TP53,FAU
TP53,FBL
TP53,FBXO21
TUBG1,FLG
TP53,FTH1
TP53,MOGS
TP53,GIGYF2
TP53,GPATCH8
TP53,GRWD1
TP53,GTF3C3
TP53,GTF3C4
TP53,RPL27AP6
TP53,HECTD1
TP53,HNRNPA1
TP53,HNRNPA2B1
TP53,HNRNPF
TP53,HNRNPH1
TP53,HNRNPM
TP53,HNRNPU
TP53,HPCA
TP53,HSP90AA1
TP53,HSP90AB1
TP53,HSPA1L
TP53,HSPA5
TP53,HSPA8
TP53,HSPA9
TP53,IDH3B
TP53,IGF2BP1
TP53,IGF2BP3
TP53,ARHGEF17
CEP76,IQGAP1
TP53,IQGAP1
TUBGCP3,IQGAP1
VCP,IQGAP1
TP53,IRS4
TP53,ITPKC
TP53,RPS15P2
TP53,LRPPRC
TP53,LY6G5B
TP53,MAGED2
TP53,MAPK1
TP53,MDM2
TP53,MFAP4
TP53,KMT2A
TP53,MRPL24
TP53,MRPL38
TP53,MRPL39
TP53,MRPL41
TP53,MRPS14
TP53,MRPS2
TP53,MRPS22
TP53,MRPS23
TP53,MRPS25
TP53,MRPS27
TP53,MRPS28
TP53,MRPS5
TP53,MRPS9
TP53,NPM1
TP53,OBSL1
TP53,RPL13
TP53,PABPC1
TP53,PCBP1
CEP72,PCLO
TP53,PCMT1
TP53,PDCD6
TP53,PHKA2
TP53,PHKB
TP53,PHKG2
TP53,POLDIP2
TP53,PPFIBP1
TP53,PPP1R13L
TP53,PPP3CA
TP53,PPP3R1
PPP2R1A,PSIP1
TP53,PTCD3
TP53,RAE1
TP53,RAVER1
TP53,RBBP4
TP53,RBBP7
TP53,RBX1
TP53,RDH13
TP53,RFC3
TP53,RFC4
TP53,TRMT10C
TP53,RPL7A
TP53,RPL10A
TP53,RPL10L
TP53,RPL11
TP53,RPL12
TP53,RPL14
TP53,RPL15
TP53,RPL18
TP53,RPL18A
TP53,RPL19
TP53,RPL21
TP53,RPL23A
TP53,RPL26
TP53,RPL26L1
TP53,RPL27
TP53,RPL3
TP53,RPL30
TP53,RPL31
TP53,RPL37A
TP53,RPL4
HAUS2,RPL5
TP53,RPL5
TUBG1,RPL5
TP53,RPL6
TP53,RPL7
TP53,RPL8
TP53,RPLP0
TP53,RPLP2
TP53,RPRD1A
TP53,RPS10
TP53,RPS14
TP53,RPS15
TP53,RPS17
TP53,RPS2
TP53,RPS24
TP53,RPS25
TP53,RPS26
TP53,RPS27
TP53,RPS3A
TP53,RPS6
TP53,RPS7
TP53,RPS8
TP53,RPS9
TP53,RRP1B
TP53,SART1
TP53,SCO2
TP53,SF3B2
TP53,SKP1
TP53,SLC2A12
TP53,SNRPD3
TP53,SNW1
TP53,SUPT6H
TP53,TADA3
TP53,TBC1D4
TP53,TCEAL4
TP53,TCP1
TP53,TFRC
TP53,TIMM50
TP53,TOR1AIP2
TP53,TUBA1A
TP53,TUBA1C
TP53,TUBA4A
TP53,TUBB2A
TP53,TUBB4B
TP53,TUBG1
TP53,UBB
TP53,UBR4
TP53,UBR5
TP53,VASP
TP53,VAT1
TP53,VCP
TP53,DCAF7
TP53,YBX1
TP53,YTHDF1
TP53,YWHAE
TP53,ZWINT
TP53,MDM2
TP53,MDM4
MDM4,MDM2
MDM4,TP53
SETD7,SOX2
CDH1,MDM2
BANP,MDM2
SOX2,SETD7
SNAI2,TP53
PER2,TP53
PER2,TP53
TP53,PER2
TP53,PER2
TP53,MDM2
PER2,MDM2
MDM2,TP53
TNK2,NEDD4L
TNK2,NEDD4
PARK2,DDIT4
PARK2,UBE2L3
DDIT4,PARK2
PARK2,DDIT4
BUB1B,CDC27
